Contender,Tank 1,Tank 2,Tank 3,Healer 1,Healer 2,Healer 3,DPS 1,DPS 2,DPS 3
joergen,Reinhardt,Doomfist,Winston,Ana,Kiriko,Lúcio,Widowmaker,Pharah,Sierra
Peke,Roadhog,Winston,Zarya,Zenyatta,Juno,Mercy,Soldier: 76,Reaper,Emre
Ällä,Sigma,Ramattra,Zarya,Baptiste,Illari,Kiriko,Soldier: 76,Mei,Hanzo
Koira,Reiska,D.Va,Dommymommy,Zenyatta,Moira,Kiriko,Soldier: 76,Sojourn,Cassidy
Aladintz,Reinhardt,Ramattra,Domina,Mizuki,Kiriko,Ana,McCree,Ashe,Emre
Joemboe,D.Va,Zarya,Reiska,Mercy,Lúcio,Zenyatta,Widowmaker,Junkrat,Soldier: 76
Maasori,Domina,D.Va,Reiska,Juno,Kiriko,Allari,Anran,Soldier: 76,Emre
